dataset,employee_id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met,awards_won,avg_training_score,is_promoted
train,20774,6,10,3,2,1,1,34,5,7,1,0,96,1
train,46003,8,31,2,2,3,1,28,1,2,0,0,46,0
train,63443,1,7,2,1,1,1,22,NA,1,0,0,48,0
train,48524,6,7,3,2,3,1,55,3,24,0,0,66,0
train,50450,7,22,2,1,1,1,27,3,5,1,0,61,0
train,66831,2,15,2,2,3,1,45,5,16,1,0,63,0
train,26222,3,2,2,1,3,1,41,2,5,1,1,73,0
train,8684,3,26,2,1,1,1,25,4,2,1,0,84,0
train,34425,8,22,1,1,3,1,23,3,2,0,0,52,0
train,75031,2,2,2,2,3,2,38,3,3,0,0,57,0
train,52111,6,2,2,1,1,1,25,5,2,1,1,72,0
train,5581,1,13,2,1,1,1,50,2,20,0,0,51,0
train,14524,4,16,2,1,1,1,39,4,10,0,0,83,0
train,15495,2,22,2,1,3,1,48,5,17,1,0,63,0
train,16029,3,8,2,1,3,1,26,1,2,0,0,78,0
train,71646,2,14,2,1,3,1,40,4,6,1,0,58,0
train,57088,2,4,3,1,3,1,48,4,16,0,0,65,0
train,25472,3,2,3,1,3,1,50,2,22,0,0,80,0
train,45427,3,9,2,1,1,1,28,NA,1,0,0,79,0
train,28276,4,22,2,1,1,1,27,3,2,0,0,85,0
train,18425,1,2,3,1,1,1,59,3,29,0,0,51,0
train,44521,3,13,3,2,1,1,38,2,4,0,0,82,0
train,55563,1,4,2,1,3,1,42,3,7,0,0,47,0
train,29563,1,2,2,1,1,1,40,4,2,1,0,49,0
train,15456,1,15,NA,1,1,1,22,3,1,0,0,50,0
train,37248,1,16,2,1,3,1,47,1,7,0,0,47,0
train,27634,1,28,2,1,3,1,26,NA,1,0,0,51,0
train,17963,3,23,3,1,1,1,32,3,2,0,0,82,0
train,9806,2,2,2,1,3,1,38,4,4,1,0,58,0
train,1181,1,2,2,1,3,1,30,4,3,0,0,54,0
train,9671,2,31,1,1,1,1,25,3,3,0,0,57,0
train,36369,1,15,2,1,1,1,37,2,9,0,0,44,0
train,30973,1,28,NA,1,3,1,25,4,3,0,0,55,0
train,50227,1,2,2,1,3,2,28,5,3,1,0,50,0
train,39104,3,2,2,1,3,1,31,5,7,1,0,80,0
train,39964,1,20,2,1,3,1,33,3,8,0,0,46,0
train,17130,1,30,2,2,3,1,30,3,7,0,0,49,0
train,68429,6,30,2,1,3,1,33,4,6,0,0,67,0
train,50336,6,7,2,2,1,1,29,4,4,1,0,72,0
train,17236,4,26,2,1,1,1,26,3,3,1,0,80,0
train,34764,2,22,2,1,1,1,24,NA,1,1,0,61,0
train,42613,3,27,3,2,3,1,36,3,10,0,0,76,0
train,64291,7,2,3,1,3,1,36,2,7,1,0,57,0
train,71024,2,4,2,1,3,1,31,5,9,1,0,60,0
train,19406,1,5,2,1,3,1,29,5,4,1,0,45,0
train,32642,3,2,3,2,3,1,48,4,12,1,0,82,0
train,32179,1,26,2,1,3,1,39,2,4,0,0,52,0
train,8785,6,26,2,1,1,1,26,3,3,0,0,72,0
train,63682,1,1,2,1,3,1,32,4,4,0,0,46,0
train,63528,3,7,3,2,3,1,37,2,2,0,0,79,0
train,10498,1,7,2,1,1,4,28,1,5,0,0,45,0
train,71585,2,7,2,1,1,1,30,5,5,0,0,57,0
train,53346,2,15,3,1,1,1,41,3,5,0,0,54,0
train,46073,2,22,2,2,2,1,35,3,13,1,0,61,0
train,70854,1,28,2,2,1,1,30,NA,1,1,0,46,0
train,34214,6,2,2,1,1,1,47,5,18,1,0,65,0
train,3207,1,13,2,1,3,1,45,4,5,1,0,50,0
train,68250,8,7,2,2,1,1,34,2,8,0,0,51,0
train,17398,6,2,2,2,3,1,34,1,10,0,0,70,0
train,34191,1,4,3,2,3,1,47,3,3,0,0,49,0
train,35835,2,4,2,1,3,1,28,NA,1,1,0,60,0
train,53983,1,4,3,1,1,1,56,4,4,1,1,45,1
train,40431,2,7,2,1,3,1,25,NA,1,0,0,61,0
train,7345,1,7,2,2,3,2,35,3,9,0,0,47,0
train,37879,4,15,3,1,1,3,33,4,2,1,0,83,0
train,66280,8,2,2,2,3,1,47,3,15,0,0,53,0
train,41419,7,2,2,2,1,1,33,5,7,1,0,57,0
train,76100,1,7,2,1,3,2,37,3,5,0,0,52,0
train,39125,1,31,2,1,1,1,23,NA,1,0,0,50,0
train,31232,3,11,2,1,3,1,32,1,7,1,1,82,0
train,34707,1,2,2,2,3,1,60,5,10,0,0,51,0
train,35920,2,7,2,2,3,1,35,5,4,1,0,62,0
train,41935,4,11,2,1,1,1,30,5,5,0,0,86,0
train,22829,2,2,NA,1,1,1,46,2,3,1,0,57,0
train,27232,2,13,3,2,1,1,41,3,12,0,0,61,0
train,58763,1,21,2,1,1,1,24,1,2,0,0,50,0
train,25768,3,23,2,1,3,1,35,3,3,1,0,80,0
train,7567,4,2,2,1,1,1,32,3,4,0,0,86,0
train,14605,9,2,3,1,1,1,53,3,19,0,0,60,0
train,29028,1,11,3,1,1,1,37,4,4,1,1,52,0
train,71307,2,29,2,1,3,2,28,3,4,0,0,58,0
train,42867,3,32,2,1,3,1,30,3,9,0,0,77,0
train,70180,6,22,2,1,3,1,29,5,4,1,0,70,0
train,63951,5,2,NA,1,1,2,27,4,2,0,0,89,0
train,45184,1,2,NA,1,3,1,24,3,2,1,0,50,0
train,65315,3,2,3,2,3,1,59,4,6,0,0,79,0
train,29910,1,22,2,1,1,2,33,3,6,0,0,51,0
train,9491,4,19,2,1,3,2,28,3,2,0,0,83,0
train,56360,2,7,3,1,3,1,44,3,4,1,0,56,0
train,22253,2,22,3,1,1,1,37,5,8,1,0,62,0
train,31565,6,30,3,2,1,1,35,5,8,1,0,88,1
train,78200,1,13,3,1,3,1,39,1,9,0,0,52,0
train,5438,3,33,2,2,1,1,30,3,5,0,0,81,0
train,31392,1,23,2,2,3,1,28,NA,1,0,0,49,0
train,58467,3,2,3,1,1,1,33,NA,1,0,0,80,0
train,66754,3,4,3,1,3,3,34,4,6,1,0,84,0
train,59483,1,13,2,2,3,1,37,3,9,0,0,47,0
train,24201,6,2,2,2,1,1,46,5,18,0,0,84,1
train,56029,2,28,2,1,3,1,27,5,4,1,0,60,0
train,44842,3,23,3,2,3,1,32,3,9,0,0,82,0
train,56789,6,22,2,2,3,1,29,NA,1,1,0,66,1
train,26770,4,27,2,1,1,1,40,3,7,0,0,85,0
train,30124,8,3,2,1,3,1,27,NA,1,1,0,51,0
train,9508,6,7,3,2,3,1,59,5,6,1,0,75,0
train,30264,2,22,2,1,3,1,30,4,4,1,0,62,0
train,22291,1,1,2,2,1,1,29,3,5,0,0,54,0
train,48315,3,22,2,1,2,2,26,4,2,1,0,79,0
train,4410,1,2,2,1,3,2,39,3,12,1,0,48,0
train,4472,2,32,2,1,1,1,38,3,7,0,0,65,0
train,58983,6,13,3,1,1,2,31,5,4,1,0,70,0
train,69679,1,2,2,1,1,1,47,5,13,0,0,44,0
train,65583,6,11,2,2,1,1,28,4,2,0,0,69,0
train,28379,2,19,3,2,3,1,39,4,10,0,0,58,0
train,19267,7,13,2,2,1,1,35,2,10,0,0,56,0
train,73952,2,32,2,1,1,1,31,5,6,0,0,58,0
train,77095,3,2,2,1,1,4,25,1,2,0,0,80,0
train,39979,1,16,2,1,3,1,33,4,3,0,0,53,0
train,62715,4,7,2,1,1,2,34,3,8,0,0,86,0
train,20960,1,16,2,1,3,1,41,3,7,0,0,47,0
train,45761,6,6,2,1,3,1,25,NA,1,0,0,70,0
train,52162,1,2,2,1,3,1,20,4,2,1,0,49,0
train,52249,1,2,2,1,2,1,37,5,4,1,0,47,0
train,55083,1,4,2,1,1,1,33,4,9,0,0,46,0
train,77692,1,27,2,1,1,1,38,4,10,0,0,49,0
train,56809,6,22,2,1,2,1,31,4,6,0,0,74,0
train,10284,1,7,2,1,1,1,33,4,7,0,0,50,0
train,27013,1,2,2,1,1,1,38,1,8,0,0,45,0
train,39323,2,7,2,1,3,2,31,5,2,1,0,60,0
train,73174,6,17,3,1,3,1,34,3,6,0,0,72,0
train,76501,7,22,3,1,1,1,38,5,9,1,0,64,0
train,42649,6,29,3,1,3,1,37,3,7,0,0,65,0
train,72897,4,23,2,1,1,1,26,5,3,1,0,85,0
train,26800,6,2,3,1,1,1,51,3,19,0,0,72,0
train,44092,3,14,2,2,3,1,27,4,2,1,0,81,0
train,45881,2,31,2,2,3,1,26,4,3,1,0,60,0
train,4201,8,2,3,2,3,1,48,5,5,0,0,51,0
train,15859,5,26,2,1,1,1,32,4,6,0,0,85,0
train,34498,1,15,2,1,1,1,34,4,10,0,0,49,0
train,44836,4,26,3,1,3,1,42,3,15,1,0,83,1
train,14675,3,33,2,1,1,1,54,3,25,0,0,79,0
train,17831,6,2,2,2,1,1,31,4,6,1,0,66,0
train,69432,6,15,2,2,1,1,31,5,2,1,0,68,0
train,72905,3,2,2,1,2,1,38,3,6,0,0,80,0
train,49140,1,15,3,1,3,1,46,3,12,0,0,50,0
train,62863,6,2,2,1,1,1,27,3,2,0,0,65,0
train,13853,1,22,NA,1,1,2,27,NA,1,0,0,48,0
train,17195,2,15,3,1,3,1,36,4,8,1,0,61,0
train,75302,8,2,2,1,3,1,26,3,3,0,0,54,0
train,5521,6,5,2,2,1,1,29,3,2,0,0,71,0
train,65660,1,10,2,1,1,1,30,4,7,0,0,49,0
train,27266,8,2,2,1,3,1,36,2,4,1,0,52,0
train,49431,2,22,2,1,1,1,28,2,3,0,0,58,0
train,75382,6,4,3,2,3,1,34,1,8,0,0,67,0
train,3257,2,11,2,1,1,1,42,3,2,0,0,60,0
train,64201,2,11,2,1,3,2,32,3,6,0,0,57,0
train,6464,4,22,3,1,3,1,32,4,7,1,0,88,0
train,66247,7,16,2,1,3,1,35,3,7,1,0,60,0
train,11949,6,23,3,2,3,1,36,3,5,0,0,66,0
train,37175,6,10,3,2,3,1,34,1,8,0,0,72,0
train,47761,4,28,3,1,1,1,33,5,6,0,0,87,0
train,70540,6,15,2,1,1,1,34,5,9,1,0,74,0
train,10901,6,22,2,1,3,1,28,2,2,0,0,70,0
train,56502,9,26,2,1,1,1,30,NA,1,1,0,64,0
train,73929,9,2,2,1,1,1,26,5,3,1,0,57,0
train,3773,4,2,2,1,1,1,37,3,8,0,0,79,0
train,6565,3,22,2,1,1,1,31,4,3,1,0,78,0
train,17440,4,5,3,1,3,2,39,3,10,0,0,84,0
train,51504,2,22,2,1,3,2,36,4,4,0,0,62,0
train,55629,6,4,3,1,3,1,37,3,4,0,0,68,0
train,62542,9,24,2,1,3,1,26,3,2,0,0,58,0
train,20828,3,5,2,1,1,1,40,3,11,0,0,74,0
train,54110,4,4,3,1,3,2,33,5,6,1,0,82,0
train,45603,1,31,2,1,1,1,25,4,2,0,0,50,0
train,48261,6,31,3,1,3,2,35,4,5,1,0,67,0
train,11848,2,12,2,1,3,1,37,2,8,0,0,61,0
train,49827,7,22,2,1,3,1,27,NA,1,0,0,61,0
train,24891,3,7,3,2,3,1,41,1,7,1,0,80,1
train,61469,2,13,2,1,1,1,28,5,4,1,0,58,0
train,41048,7,2,2,2,1,1,38,1,9,0,0,58,0
train,45653,1,25,2,1,1,1,27,3,8,1,0,48,1
train,29171,2,11,2,2,3,1,39,3,5,0,0,61,0
train,39399,1,15,2,1,1,1,34,3,10,0,0,45,0
train,62774,2,30,2,1,3,1,29,3,3,1,0,59,0
train,2128,4,30,2,1,3,1,29,5,3,0,0,83,0
train,74248,1,22,3,2,3,1,31,2,5,0,0,50,0
train,386,1,2,NA,1,3,1,36,5,7,0,0,51,0
train,20797,4,22,3,1,1,2,39,3,5,0,0,90,0
train,73492,3,22,2,1,1,1,29,2,7,0,0,84,0
train,35572,1,13,2,1,3,1,36,4,7,0,0,54,0
train,50431,2,22,2,1,1,1,30,5,2,1,0,59,0
train,66215,2,2,NA,2,3,1,28,3,2,0,0,62,0
train,41690,2,28,2,1,1,1,26,5,3,1,0,62,0
train,35988,1,22,2,1,1,1,29,5,4,0,0,64,1
train,18941,9,2,2,1,3,1,46,4,15,0,0,58,0
train,46129,2,19,2,2,1,1,39,4,7,0,0,62,0
train,71668,1,11,3,1,3,1,35,5,7,1,0,50,0
train,54077,1,2,2,1,3,1,25,2,2,1,0,47,0
train,60658,2,31,NA,1,1,1,27,NA,1,0,0,60,0
train,1683,7,31,3,1,1,1,34,1,4,0,0,57,0
train,28538,3,16,3,2,3,1,38,2,4,0,0,79,0
train,57294,5,19,2,1,3,2,36,3,7,0,0,85,0
train,42753,2,19,3,1,1,2,37,5,9,0,0,57,0
train,55075,1,7,NA,1,3,1,31,5,5,1,0,48,0
train,28992,1,3,3,1,1,1,41,4,5,0,0,53,0
train,32910,3,22,2,1,3,1,31,3,5,1,0,81,0
train,71146,6,2,3,2,1,2,47,4,18,0,0,71,0
train,70912,9,2,2,1,3,1,49,3,19,0,0,56,0
train,27086,8,2,2,2,1,1,45,4,13,0,0,53,0
train,67733,2,22,3,1,3,1,36,1,9,0,0,58,0
train,67171,6,2,2,2,3,5,30,3,3,0,0,74,0
train,1928,1,5,NA,1,3,1,23,3,2,0,0,49,0
train,77103,3,26,2,2,3,1,32,5,6,1,0,80,0
train,46532,1,28,2,1,3,2,28,2,6,0,0,50,0
train,33474,6,15,3,1,3,1,45,3,18,0,0,67,0
train,61898,5,7,3,1,3,1,38,5,5,1,0,84,1
train,961,9,22,3,1,3,3,34,1,6,0,0,54,0
train,68321,2,13,3,2,1,1,34,5,6,1,0,54,1
train,50933,6,31,2,1,1,2,29,NA,1,0,0,68,0
train,51724,8,22,2,1,3,2,27,3,2,0,0,50,0
train,24010,3,17,3,1,3,1,43,5,11,0,0,77,0
train,61485,4,2,2,1,3,1,32,3,5,0,0,82,0
train,14993,6,2,3,2,1,1,37,5,8,0,0,86,1
train,51884,4,27,2,1,1,1,34,5,4,1,0,85,0
train,66368,7,26,2,2,3,1,28,4,5,1,0,61,0
train,31606,9,5,2,1,1,1,29,3,3,1,0,60,0
train,64274,2,22,2,2,1,1,37,5,8,1,0,58,0
train,65097,4,2,NA,1,1,1,24,4,2,0,0,88,0
train,73127,8,26,2,1,3,1,24,3,3,0,0,49,0
train,29813,1,2,2,1,3,1,33,1,10,0,0,52,0
train,49232,3,2,2,2,3,1,42,5,11,0,0,81,1
train,29873,8,2,2,2,3,1,34,2,8,0,0,51,0
train,39033,3,2,2,1,2,1,36,3,5,0,0,79,0
train,21445,1,22,2,1,3,1,29,2,6,0,0,50,0
train,9331,3,4,3,2,3,1,50,1,11,0,0,81,0
train,34351,1,1,2,2,3,1,28,5,5,1,0,49,0
train,2849,2,2,2,1,3,1,30,4,4,0,0,59,0
train,43098,8,2,3,2,2,1,53,5,19,0,0,59,1
train,44954,2,22,2,1,3,1,56,4,23,0,0,60,0
train,22132,4,29,2,1,1,1,27,3,3,1,0,98,1
train,49333,6,2,2,1,3,1,34,1,2,0,0,65,0
train,70439,1,17,3,1,1,1,37,5,2,0,0,54,0
train,68646,6,8,2,1,3,1,32,3,4,1,0,68,0
train,2912,6,7,2,2,3,1,28,1,9,0,0,68,0
train,49898,2,22,2,2,3,3,36,4,6,1,0,60,1
train,25412,4,23,3,1,1,1,40,5,9,1,0,83,0
train,76640,2,28,2,1,1,1,29,5,2,1,0,59,0
train,57877,3,15,2,1,3,1,41,5,4,1,0,81,1
train,66728,3,28,2,1,3,1,29,3,4,1,0,74,1
train,77864,1,7,3,1,3,1,41,3,5,0,0,50,0
train,77392,4,2,2,1,1,3,43,5,4,1,0,82,0
train,75234,1,31,2,1,1,3,30,1,5,0,0,49,0
train,30817,9,2,3,1,1,1,40,1,4,1,0,62,0
train,33747,1,4,3,1,3,1,46,3,17,1,0,51,0
train,31106,9,22,2,2,3,1,30,5,2,1,0,60,0
train,65453,1,22,2,1,3,3,27,4,4,0,0,49,0
train,8162,2,7,2,2,3,1,32,5,6,0,0,59,0
train,27054,2,15,3,2,1,2,44,4,10,1,0,61,0
train,52762,2,23,2,2,3,1,31,3,7,0,0,62,0
train,68710,6,6,2,2,3,1,31,3,3,0,0,67,0
train,38687,3,2,2,1,1,3,36,1,4,0,0,81,0
train,15069,3,2,3,1,1,2,40,4,13,1,0,81,0
train,27526,5,7,2,1,3,1,33,NA,1,1,0,89,0
train,71394,2,16,2,2,3,1,32,4,5,1,0,63,0
train,37456,1,16,3,1,3,1,34,1,2,1,1,50,0
train,46405,2,22,3,1,3,1,41,3,10,1,0,59,0
train,59343,1,3,2,1,1,1,29,4,4,1,0,53,0
train,60267,3,20,2,1,3,1,36,3,7,0,0,82,0
train,47997,1,4,2,1,3,1,32,5,3,1,0,45,0
train,71121,4,26,2,1,1,1,32,3,6,1,0,86,0
train,48522,3,11,2,1,3,1,35,3,5,0,0,77,0
train,61682,3,2,3,1,1,2,41,4,3,1,0,81,0
train,41536,6,28,2,2,1,2,28,4,5,0,0,68,0
train,38970,1,31,2,1,3,1,27,NA,1,1,0,44,0
train,8619,5,8,2,1,1,1,28,5,4,1,0,84,1
train,77544,2,13,2,1,3,1,34,3,7,1,0,62,0
train,41737,7,22,2,2,3,2,27,4,3,1,0,65,0
train,55336,2,26,2,1,3,2,29,3,2,0,0,55,0
train,23110,3,7,2,2,3,1,32,5,5,1,0,80,0
train,10517,7,2,2,1,3,1,60,3,6,0,0,56,0
train,6993,1,7,2,1,3,1,34,5,4,1,0,56,0
train,51325,1,15,3,1,1,1,31,1,3,0,0,49,0
train,37648,1,20,2,1,3,1,29,5,5,1,0,48,0
train,2284,5,22,3,1,3,1,35,3,5,0,0,81,0
train,48928,1,2,2,1,1,1,34,4,7,0,0,49,0
train,39816,6,22,3,1,3,1,38,2,4,0,0,65,0
train,5013,2,4,2,2,1,1,35,1,8,1,0,54,0
train,70446,9,22,2,1,2,1,29,NA,1,0,0,58,0
train,58007,5,26,3,1,1,1,28,2,4,1,0,82,0
train,56330,3,2,2,1,1,3,26,3,2,0,0,82,0
train,50992,5,2,3,1,3,1,39,5,3,0,0,84,0
train,29768,1,16,NA,1,3,1,33,1,6,0,0,50,0
train,18433,1,8,2,1,3,1,31,1,8,0,0,47,0
train,57792,1,22,3,1,1,2,38,5,7,1,0,46,0
train,37382,1,26,NA,1,3,1,24,3,3,0,0,51,0
train,32473,2,2,3,2,1,1,50,4,20,0,0,60,0
train,26556,6,22,3,2,1,1,33,4,7,1,1,72,0
train,4400,1,2,2,1,3,1,25,5,2,0,0,54,0
train,75186,1,15,2,1,1,3,31,2,7,0,0,50,0
train,55051,7,22,2,2,3,4,27,1,2,0,0,55,0
train,30503,3,33,2,1,3,1,49,4,15,0,0,78,0
train,42629,4,32,2,1,3,1,28,NA,1,0,0,84,0
train,74717,2,22,3,1,1,1,48,5,7,0,0,62,0
train,15716,6,27,2,2,1,1,34,1,4,0,0,72,0
train,43282,1,2,2,2,3,1,35,4,7,0,0,52,0
train,26060,1,2,2,2,3,1,20,3,2,1,0,53,0
train,57190,2,22,2,1,3,1,36,4,8,1,0,61,1
train,62511,2,31,2,1,3,1,34,1,3,0,0,58,0
train,34684,6,2,2,1,1,1,37,4,3,1,0,66,0
train,49334,1,22,2,1,3,1,28,5,4,1,0,49,1
train,43918,3,2,3,1,1,1,59,5,18,0,0,79,0
train,68534,1,25,3,1,3,1,35,4,4,0,0,49,0
train,36030,2,7,2,2,3,1,44,3,11,0,0,63,0
train,69722,8,31,3,1,3,1,39,3,3,0,0,54,0
train,29424,2,15,3,1,3,1,38,5,7,0,0,75,1
train,55024,2,2,2,2,3,2,56,3,8,0,0,60,0
train,75315,3,14,2,1,3,1,55,4,6,1,0,76,0
train,27453,2,2,2,1,3,1,41,5,12,1,0,59,0
train,19818,1,27,2,2,1,1,33,1,4,0,0,53,0
train,31737,3,33,3,1,3,1,34,2,7,0,0,74,0
train,29987,3,13,2,2,1,1,26,3,3,1,0,84,0
train,56833,1,21,2,1,3,1,41,5,12,1,0,52,0
train,3600,5,31,3,1,1,1,37,5,8,0,0,84,0
train,35203,8,22,3,1,1,1,33,4,5,0,0,45,0
train,59447,2,20,2,1,3,2,34,3,6,0,0,57,0
train,64246,1,13,NA,1,1,1,46,3,13,0,0,49,0
train,69825,8,2,3,1,3,1,50,5,16,1,0,45,1
train,42553,1,5,2,1,1,1,35,3,8,0,0,53,0
train,26720,4,27,NA,1,1,1,31,3,3,1,0,97,1
train,64126,1,9,2,1,3,1,35,1,9,0,0,45,0
train,77980,3,16,3,2,3,1,36,3,9,0,0,76,0
train,20790,1,10,2,1,1,1,31,2,7,0,1,50,0
train,68258,3,4,2,2,3,1,29,3,3,0,0,80,0
train,14528,6,2,2,1,3,2,41,3,7,1,0,69,0
train,23968,1,13,3,1,3,1,38,5,3,0,0,46,0
train,26906,3,2,NA,2,3,1,51,3,7,0,0,80,0
train,61638,1,16,3,1,1,1,33,4,3,1,0,51,0
train,76744,2,4,3,1,3,1,50,3,21,0,0,60,0
train,39185,6,5,3,1,3,1,39,3,3,0,0,67,0
train,71439,2,2,2,2,1,2,31,3,3,0,0,59,0
train,31498,6,8,2,2,3,1,34,5,6,1,0,65,0
train,57272,1,22,2,1,3,3,30,4,6,0,0,50,0
train,2557,2,11,3,1,1,1,35,3,3,0,0,58,0
train,59393,1,10,2,1,1,1,38,3,3,1,0,47,0
train,425,6,33,2,2,1,1,32,2,5,0,0,67,0
train,10070,3,32,2,1,1,1,30,NA,1,0,0,83,0
train,49634,1,22,2,2,3,2,28,NA,1,0,0,49,0
train,64215,6,29,2,1,3,1,31,3,5,0,0,71,0
train,70392,2,15,2,1,2,1,35,4,4,0,0,61,0
train,37791,2,15,2,1,3,1,32,5,4,1,0,59,0
train,6144,8,22,1,2,3,1,23,NA,1,1,0,48,0
train,71025,8,22,2,1,3,1,25,5,2,0,0,52,0
train,49990,1,23,2,2,3,1,32,4,7,0,0,52,0
train,66705,6,2,2,2,1,1,42,1,4,0,0,70,0
train,22895,2,4,3,2,1,2,37,3,3,1,0,59,0
train,61242,1,1,3,1,3,1,31,5,3,1,0,50,0
train,30313,4,2,3,1,3,3,48,3,7,0,0,82,0
train,5818,1,16,2,1,1,2,24,NA,1,0,1,51,0
train,47373,1,16,2,1,3,1,30,4,5,0,0,49,0
train,30087,5,2,3,1,1,1,46,5,13,1,0,83,0
train,67916,2,31,2,1,3,1,31,3,3,0,0,62,0
train,25259,2,27,2,1,1,1,31,4,5,0,0,61,0
train,6226,9,25,2,1,1,1,32,3,4,1,0,52,0
train,5066,8,22,3,2,3,1,31,4,3,0,0,48,0
train,74309,2,2,2,1,1,1,37,5,7,0,0,56,0
train,76551,4,26,2,1,3,1,33,4,7,0,0,80,0
train,10806,2,19,2,2,1,1,39,4,2,1,0,62,0
train,54919,2,22,2,2,1,1,36,5,7,1,0,54,0
train,39759,6,12,2,1,1,1,33,3,9,0,0,69,0
train,69828,3,7,2,1,3,2,29,3,4,0,0,76,0
train,62598,7,7,1,2,3,1,24,3,2,0,0,52,0
train,75153,4,2,3,1,3,1,48,4,14,0,0,80,0
train,72978,1,8,2,1,3,1,27,5,2,1,0,48,0
train,69425,1,7,2,1,3,2,27,NA,1,0,0,51,0
train,18183,1,13,2,1,1,1,50,3,7,0,0,49,0
train,41483,8,2,NA,2,1,1,28,2,5,0,0,49,0
train,36058,7,8,2,1,3,1,30,3,4,1,0,57,0
train,58246,2,26,2,1,3,2,44,4,2,0,0,56,0
train,39413,4,11,2,1,1,1,30,4,4,0,0,87,0
train,36686,1,31,2,1,3,1,35,4,7,1,0,59,1
train,28409,2,2,2,1,3,2,46,2,13,0,0,60,0
train,58532,6,13,3,1,3,2,30,3,3,1,0,67,0
train,65860,1,30,3,1,3,1,35,5,7,0,0,54,0
train,70459,9,2,2,1,1,1,26,NA,1,0,0,60,0
train,49802,1,13,3,1,1,1,36,5,11,0,0,51,0
train,13753,2,22,3,2,3,1,40,4,5,1,0,57,0
train,43432,3,15,2,1,1,3,32,3,4,1,0,77,1
train,47721,5,22,2,1,3,3,31,5,6,1,0,82,0
train,17291,1,26,2,2,1,1,36,1,4,1,0,49,0
train,15066,6,22,3,1,1,1,42,3,17,0,0,82,1
train,13446,4,22,2,1,3,1,43,4,5,0,0,89,0
train,23691,5,22,2,1,1,2,29,1,4,1,0,86,0
train,390,2,22,2,2,1,1,25,3,2,0,0,60,0
train,42446,4,2,3,1,3,1,34,1,2,1,0,81,0
train,47027,4,13,3,1,1,1,32,5,4,1,0,82,0
train,22544,7,28,2,1,3,2,30,3,7,0,0,89,1
train,46535,8,2,2,2,3,1,23,NA,1,0,0,49,0
train,26290,2,4,2,1,3,1,27,5,3,1,0,63,0
train,49375,2,2,2,2,1,1,41,3,10,0,0,72,1
train,34758,1,7,3,1,1,1,44,5,10,1,0,48,0
train,32447,2,23,2,1,3,1,35,3,7,0,0,63,0
train,14304,3,31,2,1,3,1,48,3,7,0,0,74,0
train,68013,1,7,3,1,3,3,37,3,10,0,0,49,0
train,61084,3,2,NA,1,3,1,38,1,7,0,0,84,0
train,52798,1,2,3,2,3,1,35,5,2,0,0,52,0
train,76278,3,13,3,2,1,1,38,4,8,0,0,80,0
train,28941,2,11,3,1,3,1,56,3,13,0,0,55,0
train,27795,1,32,2,1,1,1,29,2,9,0,0,65,1
train,24386,3,28,3,2,3,2,32,2,8,0,0,78,0
train,40265,1,14,2,1,1,3,27,NA,1,0,0,50,0
train,58207,1,16,2,1,1,1,41,1,6,0,0,51,0
train,38448,9,26,2,1,1,1,27,3,2,0,0,57,0
train,10093,3,2,2,1,1,1,51,4,16,0,0,83,0
train,37187,1,2,2,2,1,1,44,3,12,0,0,51,0
train,37794,2,19,3,2,1,1,36,1,9,0,0,61,0
train,9902,2,22,3,1,1,1,54,5,15,1,0,64,0
train,69525,1,2,2,1,3,2,41,4,8,0,0,51,0
train,68771,2,2,NA,2,1,1,30,1,3,0,0,65,0
train,59441,7,9,2,1,3,1,30,5,4,1,0,63,0
train,14305,1,13,3,1,3,1,42,3,7,0,0,47,0
train,67278,7,4,3,1,3,1,32,3,5,0,0,74,1
train,60492,6,7,3,1,1,1,39,1,4,0,0,71,0
train,60358,1,22,2,1,1,2,43,3,12,1,0,47,0
train,38782,1,7,NA,1,3,1,36,4,6,0,0,48,0
train,65747,4,2,2,1,1,1,42,5,4,1,0,85,0
train,56288,1,9,NA,1,1,1,26,3,2,0,0,46,0
train,72458,2,2,2,1,3,2,51,3,8,1,0,60,0
train,22217,3,4,3,2,1,1,34,2,10,0,0,85,0
train,37843,1,15,2,1,1,1,37,3,7,0,0,53,0
train,11692,1,13,2,1,3,1,54,1,13,0,0,52,0
train,23398,1,2,2,1,3,1,47,5,16,0,0,64,1
train,43124,4,19,2,1,1,1,33,3,10,0,0,81,0
train,75799,3,29,2,1,3,2,29,1,3,0,0,85,0
train,59403,1,16,2,2,3,1,26,4,3,0,0,46,0
train,15845,6,2,2,1,1,2,46,3,4,0,0,70,0
train,73749,3,2,2,1,3,3,53,3,22,0,0,75,0
train,43077,3,5,1,1,3,2,23,NA,1,0,0,79,0
train,67090,2,2,2,1,1,1,35,1,3,0,0,58,0
train,63336,1,10,3,1,1,1,42,5,12,1,0,50,1
train,27878,1,7,NA,1,3,1,37,5,4,1,0,49,1
train,30244,2,34,2,1,3,1,28,4,1,0,0,59,0
train,20524,1,1,2,1,1,1,28,3,4,0,0,56,0
train,62842,3,7,3,2,3,1,42,3,5,0,0,80,0
train,46001,3,31,3,1,1,1,44,5,6,1,0,78,0
train,58918,1,21,2,1,1,3,28,4,5,0,0,48,0
train,29696,3,2,1,1,1,4,24,NA,1,0,0,83,1
train,25966,3,25,2,2,3,1,33,4,4,0,0,83,0
train,19850,8,2,2,1,3,1,40,5,10,0,0,48,0
